Athanasios Vasilakos Top Cited Authors in his/her top 39 papers
Author Name,Total Citation Count
Packetized voice/data integrated transmission on a token passing ring local area network,No PDF
Network border patrol,0
Molecular communication among biological nanomachines: A layered architecture and research issues,No PDF
Molecular communication for health care applications,0
Connectionless service for public ATM networks,No PDF
Evaluating the impact of emerging streaming media applications on TCP/IP performance,0
Total Citations:,0
"
"
Athanasios Vasilakos,Papers Analyzed: 30
Paper Name,Total Cross Citation Count
Body area networks: A survey,1
A game-theoretic method of fair resource allocation for cloud computing services,1
A survey of green mobile networks: Opportunities and challenges,1
Directional routing and scheduling for green vehicular delay tolerant networks,0
Routing for disruption tolerant networks: taxonomy and design,0
Molecular communication and networking: Opportunities and challenges,1
Routing metrics of cognitive radio networks: A survey,1
"A survey on the ietf protocol suite for the internet of things: Standards, challenges, and opportunities",0
An adaptive geometry-based stochastic model for non-isotropic MIMO mobile-to-mobile channels,0
"A survey on topology control in wireless sensor networks: Taxonomy, comparative study, and open issues",1
A survey on ambient intelligence in healthcare,6
A survey of security challenges in cognitive radio networks: Solutions and future research directions,0
"EDAL: An energy-efficient, delay-aware, and lifetime-balancing data collection protocol for wireless sensor networks",No PDF
Linguistic models and linguistic modeling,No PDF
Granular computing: perspectives and challenges,No PDF
Distributed media services in P2P-based vehicular networks,1
Spatial reusability-aware routing in multi-hop wireless networks,0
A survey on service-oriented network virtualization toward convergence of networking and cloud computing,No PDF
Security of the internet of things: Perspectives and challenges,No PDF
Algorithm design for data communications in duty-cycled wireless sensor networks: A survey,No PDF
Reliable multicast with pipelined network coding using opportunistic feeding and routing,No PDF
Novel overlay/underlay cognitive radio waveforms using SD-SMSE framework to enhance spectrum efficiency-part I: theoretical framework and analysis in AWGN channel,0
"Mobile cloud computing: A survey, state of art and future directions",3
"Approximating Congestion+ Dilation in Networks via"" Quality of Routing&# x201D; Games",0
On the partially overlapped channel assignment on wireless mesh network backbone: A game theoretic approach,1
Joint forensics-scheduling strategy for delay-sensitive multimedia applications over heterogeneous networks,1
Physarum optimization: A biology-inspired algorithm for the steiner tree problem in networks,0
ReTrust: Attack-resistant and lightweight trust management for medical sensor networks,2
Interference-based topology control algorithm for delay-constrained mobile ad hoc networks,0
QoE-driven channel allocation schemes for multimedia transmission of priority-based secondary users over cognitive radio networks,1
Software-defined and virtualized future mobile and wireless networks: A survey,0
Comparative analysis of quality of service and memory usage for adaptive failure detectors in healthcare systems,0
"Managing performance overhead of virtual machines in cloud computing: A survey, state of the art, and future directions",0
Tight performance bounds of multihop fair access for MAC protocols in wireless sensor networks and underwater sensor networks,0
An OSPF-integrated routing strategy for QoS-aware energy saving in IP backbone networks,0
A biology-based algorithm to minimal exposure problem of wireless sensor networks,1
Game dynamics and cost of learning in heterogeneous 4G networks,0
Total Citations:,22
"
"
Yunhao Liu,Papers Analyzed: 18
Paper Name,Total Cross Citation Count
Big Data: A Survey,0
Location-aware topology matching in P2P systems,0
Does wireless sensor network scale? A measurement study on GreenOrbs,0
Location awareness in unstructured peer-to-peer systems,0
VIRE: Active RFID-based localization using virtual reference elimination,0
Quality of trilateration: Confidence-based iterative localization,No PDF
"Location, localization, and localizability",0
Cardinality estimation for large-scale RFID systems,0
WILL: Wireless indoor localization without site survey,0
Mining frequent trajectory patterns for activity monitoring using radio frequency tag arrays,0
Beyond trilateration: On the localizability of wireless ad-hoc networks,No PDF
Iso-map: Energy-efficient contour mapping in wireless sensor networks,No PDF
A distributed approach to solving overlay mismatching problem,0
Improving unstructured peer-to-peer systems by adaptive connection establishment,No PDF
Nonthreshold-based event detection for 3D environment monitoring in sensor networks,No PDF
Dynamic key-updating: privacy-preserving authentication for RFID systems,0
Building a scalable bipartite P2P overlay network,0
CitySee: urban CO 2 monitoring with sensors,0
Perpendicular intersection: locating wireless sensors with mobile beacon,No PDF
Dynamic layer management in superpeer architectures,0
Sea depth measurement with restricted floating sensors,No PDF
Understanding node localizability of wireless ad hoc and sensor networks,No PDF
Distributed caching and adaptive search in multilayer p2p networks,0
A memory-efficient parallel string matching architecture for high-speed intrusion detection,0
Sensor network navigation without locations,No PDF
Agnostic diagnosis: Discovering silent failures in wireless sensor networks,No PDF
Sweep coverage with mobile sensors,0
VOVO: VCR-oriented video-on-demand in large-scale peer-to-peer networks,No PDF
Joint throughput optimization for wireless mesh networks,0
Prioritized overlay multicast in mobile ad hoc environments,No PDF
Season: Shelving interference and joint identification in large-scale rfid systems,No PDF
Total Citations:,0
"
"
Joseph Wang,Papers Analyzed: 0
Paper Name,Total Cross Citation Count
Total Citations:,0
"
"
Michael John,Papers Analyzed: 6
Paper Name,Total Cross Citation Count
Molecular communication and networking: Opportunities and challenges,1
Molecular communication: modeling noise effects on information rate,0
Molecular communication among biological nanomachines: A layered architecture and research issues,No PDF
Measuring distance from single spike feedback signals in molecular communication,0
Oscillation and synchronization of molecular machines by the diffusion of inhibitory molecules,0
Addressing by beacon coordinates using molecular communication,0
Diffusion-based multiple access by nano-transmitters to a micro-receiver,1
Total Citations:,2
"
"
Ian F.,Papers Analyzed: 16
Paper Name,Total Cross Citation Count
A survey on sensor networks,No PDF
A survey on wireless mesh networks,0
A survey on spectrum management in cognitive radio networks,0
Mobility management in next-generation wireless systems,No PDF
A survey of mobility management in next-generation all-IP-based wireless systems,0
A resource estimation and call admission algorithm for wireless multimedia networks using the shadow cluster concept,No PDF
Optimal spectrum sensing framework for cognitive radio networks,0
Wireless multimedia sensor networks: A survey,No PDF
Energy efficiency based packet size optimization in wireless sensor networks,0
Spatial correlation-based collaborative medium access control in wireless sensor networks,0
Time-diffusion synchronization protocol for wireless sensor networks,0
Wireless multimedia sensor networks: Applications and testbeds,0
A novel distributed dynamic location management scheme for minimizing signaling costs in Mobile IP,0
A distributed routing algorithm for datagram traffic in LEO satellite networks,0
A dynamic location management scheme for next-generation multitier PCS systems,0
A cross-layer (layer 2+ 3) handoff management protocol for next-generation wireless systems,0
A physical end-to-end model for molecular communication in nanonetworks,0
A new random walk model for PCS networks,0
Cognitive wireless mesh networks with dynamic spectrum access,0
A slotted CDMA protocol with BER scheduling for wireless multimedia networks,0
Medium access control protocols for multimedia traffic in wireless networks,No PDF
MLSR: a novel routing algorithm for multilayered satellite IP networks,No PDF
Total Citations:,0
"
"
Diane J,Papers Analyzed: 9
Paper Name,Total Cross Citation Count
The role of prediction algorithms in the MavHome smart home architecture,0
Human activity recognition and pattern discovery,No PDF
Discovering activities to recognize and track in a smart environment,0
Keeping the resident in the loop: adapting the smart home to the user,0
Automatic video classification: A survey of the literature,0
Sensor-based activity recognition,0
A survey on ambient intelligence in healthcare,6
Simple and complex activity recognition through smart phones,0
Online sequential prediction via incremental parsing: The active lezi algorithm,No PDF
Decision-theoretic cooperative sensor planning,No PDF
Activity discovery and activity recognition: A new partnership,0
A multi-agent system architecture for smart grid management and forecasting of energy demand in virtual power plants,0
Total Citations:,6
"
"
Min Chen,Papers Analyzed: 23
Paper Name,Total Cross Citation Count
Body area networks: A survey,1
Big data: a survey,0
A survey of green mobile networks: Opportunities and challenges,1
Applications and design issues for mobile agents in wireless sensor networks,No PDF
Virtual MIMO-based cross-layer design for wireless sensor networks,0
Cache in the air: exploiting content caching and delivery techniques for 5G systems,0
Rethinking energy efficiency models of cellular networks with embodied energy,0
A survey of recent developments in home M2M networks,1
A 2G-RFID-based e-healthcare system,No PDF
Energy efficient security algorithm for power grid wide area monitoring system,0
Mobility support for health monitoring at home using wearable sensors,1
AMES-cloud: a framework of adaptive mobile video streaming and efficient social video sharing in the clouds,0
Hybrid geographic routing for flexible energy—delay tradeoff,No PDF
A survey on internet of things from industrial market perspective,No PDF
Data dissemination based on mobile agent in wireless sensor networks,0
Itinerary planning for energy-efficient agent communications in wireless sensor networks,0
Enabling technologies for future data center networking: a primer,0
Cap: Community activity prediction based on big data analysis,0
eTime: energy-efficient transmission between cloud and mobile devices,0
Towards smart city: M2M communications with software agent intelligence,1
EMC: emotion-aware mobile cloud computing in 5G,0
Throughput and delay analysis of IEEE 802.15. 6-based CSMA/CA protocol,0
On the computation offloading at ad hoc cloudlet: architecture and service modes,No PDF
AIWAC: affective interaction through wearable computing and cloud technology,0
Energy-efficiency optimization for MIMO-OFDM mobile multimedia communication systems with QoS constraints,0
Cross-layer and path priority scheduling based real-time video communications over wireless sensor networks,0
Balance of security strength and energy for a PMU monitoring system in smart grid,0
Energy-efficient itinerary planning for mobile agents in wireless sensor networks,0
Total Citations:,5
"
"
Yang Xiao,Papers Analyzed: 23
Paper Name,Total Cross Citation Count
Throughput and delay limits of IEEE 802.11,0
Performance analysis of priority schemes for IEEE 802.11 and IEEE 802.11 e wireless LANs,0
Energy saving mechanism in the IEEE 802.16 e wireless MAN,0
IEEE 802.11 n: enhancements for higher throughput in wireless LANs,0
"Home M2M networks: Architectures, standards, and QoS improvement",0
Internet protocol television (IPTV): the killer application for the next-generation internet,0
Random coverage with guaranteed connectivity: joint scheduling for wireless sensor networks,0
Voice capacity analysis of WLAN with unbalanced traffic,0
Voice capacity analysis of WLAN with unbalanced traffic,0
Protection and guarantee for voice and video traffic in IEEE 802.11 e wireless LANs,No PDF
IEEE 802.11 e: QoS provisioning at the MAC layer,No PDF
A simple and effective priority scheme for IEEE 802.11,No PDF
Security and Privacy in Cloud Computing,No PDF
Intrusion detection techniques in mobile ad hoc and wireless sensor networks,0
Security and privacy in RFID and applications in telemedicine,No PDF
Cyber security and privacy issues in smart grids,0
Distributed collaborative control for industrial automation with wireless sensor and actuator networks,0
Wireless broadband accesS: WIMAX and beyond-Investigation of bandwidth request mechanisms under point-to-multipoint mode of WiMAX networks,0
Building-environment control with wireless sensor and actuator networks: centralized versus distributed,0
Enhanced DCF of IEEE 802.11 e to support QoS,No PDF
Refinements on IEEE 802.11 distributed coordination function modeling approaches,0
Evaluation of Distributed Admission Control for the IEEE 802.11 e EDCA,0
Tight Performance Bounds of Multihop Fair Access for MAC Protocols in Wireless Sensor Networks and Underwater Sensor Networks,0
Voice and video transmissions with global data parameter control for the IEEE 802.11 e enhance distributed channel access,0
Coverage and detection of a randomized scheduling algorithm in wireless sensor networks,0
Two tier secure routing protocol for heterogeneous sensor networks,0
Local data control and admission control for QoS support in wireless ad hoc networks,0
"Differentiation, QoS guarantee, and optimization for real-time traffic over one-hop ad hoc networks",0
IEEE 802.11 performance enhancement via concatenation and piggyback mechanisms,No PDF
Design and analysis of location management for 3G cellular networks,0
Total Citations:,0
"
"
Xiaofei Wang,Papers Analyzed: 9
Paper Name,Total Cross Citation Count
Cache in the air: exploiting content caching and delivery techniques for 5G systems,0
Cloud-enabled wireless body area networks for pervasive healthcare,0
AMES-Cloud: A Framework of Adaptive Mobile Video Streaming and Efficient Social Video Sharing in the Clouds,0
Cloud-assisted adaptive video streaming and social-aware video prefetching for mobile users,0
Measurement and analysis of world of warcraft in mobile wimax networks,No PDF
An energy-efficient protocol for data gathering and aggregation in wireless sensor networks,0
Continuous power allocation strategies for sensing-based multiband spectrum sharing,0
Characterizing the gaming traffic of World of Warcraft: From game scenarios to network access technologies,No PDF
Adaptive transmission for delay-constrained wireless video,0
Delay and capacity in MANETs under random walk mobility model,0
A framework of cooperative cell caching for the future mobile networks,No PDF
Adaptive multiband spectrum sensing,0
Total Citations:,0
"
"
