Paper Title: Body area networks: A survey
20,Maximum Likelihood Estimation of SNR for Diffusion-Based Molecular Communication,2
,Total,13
"
"
Paper Title: A survey of green mobile networks: Opportunities and challenges
Citing Paper Number,Paper Title,Over-cite Count
1,An optimized aggregate marker algorithm for bandwidth fairness improvement in classifying traffic networks,13
2,PowerNap: a power-aware distributed Wi-Fi access point scheduling algorithm,7
3,Survey of radio resource management issues and proposals for energy-efficient cellular networks that will cover billions of machines,11
4,Mobility management for IoT: a survey,19
5,Way-Point Multicast Routing Framework for improving QoS in hybrid wireless mesh networks,No PDF Found
6,An ant colony optimization based routing algorithm for extending network lifetime in wireless sensor networks,No PDF Found
7,A forwarding scheme based on swarm intelligence and percolation centrality in opportunistic networks,No PDF Found
8,Multipath routing in mobile ad hoc network with probabilistic splitting of traffic,No PDF Found
9,Sharing spray and wait routing algorithm in opportunistic networks,No PDF Found
10,A social overlay-based forwarding scheme for mobile social networks,No PDF Found
11,Hybrid QoS based routing protocol for inter and intra wireless mesh infrastructure communications,No PDF Found
12,Oblivious routing in wireless mesh networks,No PDF Found
13,Review of vehicular ad hoc network communication models including WVANET (Web VANET) model and WVANET future research directions,No PDF Found
14,Using ICT energy consumption for monitoring ICT usage in an enterprise,No PDF Found
15,Microgrids for base stations: Renewable energy prediction and battery bank management for effective state of charge control,No PDF Found
16,The role of multimedia source codecs in green cellular networks,No PDF Found
17,Insight into the impact of energy caps on the costs of cellular networks with different layouts and technologies,1
18,Design and operation of energy efficient heterogeneous mobile networks,0
19,On MAC optimization for large-scale wireless sensor network,7
20,Maximizing energy efficiency in heterogeneous cellular network with massive MIMO and small cells,No PDF Found
,Total,58
"
"
Paper Title: Directional routing and scheduling for green vehicular delay tolerant networks
Citing Paper Number,Paper Title,Over-cite Count
1,Interference-aware high-throughput channel allocation mechanism for CR-VANETs,7
2,An optimized aggregate marker algorithm for bandwidth fairness improvement in classifying traffic networks,13
3,Preset delay broadcast: a protocol for fast information dissemination in vehicular ad hoc networks (VANETs),2
4,"Understanding STDMA via computer simulation: feasibility to vehicular safety applications, configurations, and time synchronization errors",0
5,Joint QoS provisioning and congestion control for multi-hop wireless networks,12
6,Minimum node degree of k-connected vehicular ad hoc networks in highway scenarios,4
7,Mobility-based routing algorithm in delay tolerant networks,0
8,An initial analysis of packet function-aware extension to Dijkstra algorithm for wireless networks,5
9,Mobility management for IoT: a survey,19
10,Way-Point Multicast Routing Framework for improving QoS in hybrid wireless mesh networks,No PDF Found
11,A novel weight based clustering algorithm for routing in MANET,No PDF Found
12,An ant colony optimization based routing algorithm for extending network lifetime in wireless sensor networks,No PDF Found
13,Shielding video streaming against packet losses over VANETs,No PDF Found
14,A forwarding scheme based on swarm intelligence and percolation centrality in opportunistic networks,No PDF Found
15,Hybrid routing and load balancing protocol for wireless sensor network,No PDF Found
16,QoE-based routing algorithms for H.264/SVC video over ad-hoc networks,No PDF Found
17,Multipath routing in mobile ad hoc network with probabilistic splitting of traffic,No PDF Found
18,Joint scheduling and routing using space–time graphs for TDM wireless mesh networks,No PDF Found
19,Sharing spray and wait routing algorithm in opportunistic networks,No PDF Found
20,A social overlay-based forwarding scheme for mobile social networks,No PDF Found
,Total,62
"
"
