Paper Title: Body area networks: A survey
3,Efficient Resource Management for Cloud-enabled Video Surveillance over Next Generation Network,No PDF Found
4,Cloud job access control scheme based on Gaussian process regression and reinforcement learning,No PDF Found
5,Bidirectional bidding for efficient allocation of multiple resources in clouds,No PDF Found
6,A cluster-based dual-adaptive topology control approach in wireless sensor networks,3
7,A process-mining-based scenarios generation method for SOA application development,0
8,Evidence Combination from an Evolutionary Game Theory Perspective,7
9,A QoS evolutionary method of cloud service based on user utility model,No PDF Found
10,Distributed Consensus of Stochastic Delayed Multi-agent Systems Under Asynchronous Switching,7
11,Resource trading in cloud environments for utility maximisation using game theoretic modelling approach,No PDF Found
12,A survey and taxonomy on energy efficient resource allocation techniques for cloud computing systems,1
13,An efficient game-theoretic approach for resource management in Cloud Federation,No PDF Found
14,Stability property of clouds and cooperative scheduling policies on multiple types of resources in cloud computing,1
15,Resource Allocation in Cloud Computing Using the Uncertainty Principle of Game Theory,No PDF Found
16,ROAR: A QoS-oriented modeling framework for automated cloud resource allocation and optimization,0
17,Solving Potential Games with Dynamical Constraint,2
18,Bias reduction for the maximum likelihood estimator of the doubly-truncated Poisson distribution,0
19,An Online Mechanism for Resource Allocation and Pricing in Clouds,5
20,Effective QoS-aware novel resource allocation model for body sensor-integrated cloud platform,No PDF Found
21,Service provisioning problem in cloud and multi-cloud systems,No PDF Found
22,Cooperative game theoretic approach for job scheduling in cloud computing,No PDF Found
23,User-centric adaptation analysis of multi-tenant services,No PDF Found
24,Design and implementation of distributed resource management for time-sensitive applications,1
25,Mean-Field Games for Resource Sharing in Cloud-Based Networks,No PDF Found
26,An Evolutionary Game Theoretic Approach for Efficient Virtual Machine Deployment in Green Cloud,No PDF Found
27,Group technology-based model and cuckoo optimization algorithm for resource allocation in cloud computing,No PDF Found
28,Cooperation dynamics on mobile crowd networks of device-to-device communications,No PDF Found
29,Interaural time difference discrimination as a function of frequency and time differences,No PDF Found
30,Cloud flat rates enabled via fair multi-resource consumption,No PDF Found
31,Expression and enforcement of security policy for virtual resource allocation in IaaS cloud,No PDF Found
32,A game-based incentive model for service cooperation in VANETs,2
33,A CBR approach to allocate computational resources within a cloud platform,No PDF Found
34,A two-stage approach for task and resource management in multimedia cloud environment,0
35,Admission control in cloud computing using game theory,1
36,Handling uncertainty in cloud resource management using fuzzy Bayesian networks,No PDF Found
37,Reinforcement-learning-based efficient resource allocation with demand-side adjustments,No PDF Found
38,A survey on data center networking for cloud computing,7
39,Fairly sharing the network for multitier applications in clouds,No PDF Found
40,Security-Aware Virtual Machine Allocation in the Cloud: A Game Theoretic Approach,No PDF Found
,Total,50
"
"
Paper Title: Molecular communication and networking: Opportunities and challenges
Citing Paper Number,Paper Title,Over-cite Count
1,Channel Estimation for Diffusive Molecular Communications,No PDF Found
2,A Clock Synchronization Method for Molecular Nanomachines in Bionanosensor Networks,4
3,Synchronization of Bio-Nanomachines Based on Molecular Diffusion,3
4,Study of environmental effects on the connectivity of molecular communication based Internet of Nano things,No PDF Found
5,Parameter estimation of inverse Gaussian channel for diffusion-based molecular communication,No PDF Found
6,Performance Analysis of Diffusion-Based Molecular Communications with Memory,No PDF Found
7,Reliability and delay analysis of multicast in binary molecular communication,No PDF Found
8,Modeling and Analysis of SiNW FET-Based Molecular Communication Receiver,No PDF Found
9,Reconstruction of graph signals through percolation from seeding nodes,1
10,Stochastic systems of diffusion equations with polynomial reaction terms,No PDF Found
11,Leader-follower based target detection model for mobile molecular communication networks,No PDF Found
12,Electro-molecular Assembly: Electrical Writing of Information into an Erasable Polysaccharide Medium,No PDF Found
13,Reference broadcast synchronization scheme for nanomachines,No PDF Found
14,Receiver design for diffusion-based molecular communication: Gaussian mixture modeling,No PDF Found
15,Channel estimation techniques for diffusion-based molecular communications,No PDF Found
16,Ion Channel Based Bio-Synthetic Modulator for Diffusive Molecular Communication,No PDF Found
17,A comprehensive survey of recent advancements in molecular communication,3
18,Adaptive probabilistic flooding for nanonetworks employing molecular communication,No PDF Found
19,Exploring molecular distributed detection,No PDF Found
20,Maximum Likelihood Estimation of SNR for Diffusion-Based Molecular Communication,2
21,Linear network operators using node-variant graph filters,No PDF Found
22,A feedback-based molecular communication protocol for noisy intrabody environments,No PDF Found
23,On the physical design of molecular communication receiver based on nanoscale biosensors,2
24,Packet Fragmentation and Reassembly in Molecular Communication,No PDF Found
25,Security vulnerabilities and countermeasures for target localization in Bio-NanoThings communication networks,5
26,A Novel Electrical Model for Advection-Diffusion-Based Molecular Communication in Nanonetworks,1
27,Diffusion-based molecular communication and body-area nano-networks,No PDF Found
28,Characterizing Nanoscale Transient Communication,No PDF Found
29,Low-Complexity Adaptive Threshold Detection for Molecular Communication,No PDF Found
30,Molecular communication model for targeted drug delivery in multiple disease sites with diversely expressed enzymes,No PDF Found
31,Effect of retroactivity on the performance of molecular communication networks,No PDF Found
32,Molecular MIMO: From Theory to Prototype,1
33,Influence of inter-nanoparticle interaction on nanonetworks-based molecular communications,1
34,The internet of molecular things based on FRET,1
35,Connectivity model for molecular communication-based nanomachines network in normal and sub-diffusive regimes,No PDF Found
36,Low-Complexity Noncoherent Signal Detection for Nanoscale Molecular Communications,No PDF Found
37,Adaptive Transmission Rate with a Fixed Threshold Decoder for Diffusion-Based Molecular Communication,4
38,Analysis of ARQ protocols for bacterial quorum communications,0
39,Networks of bacteria colonies: A new framework for reliable molecular communication networking,1
40,In-Body network biomedical applications: from modeling to experimentation,No PDF Found
,Total,29
"
"
Paper Title: A survey of green mobile networks: Opportunities and challenges
Citing Paper Number,Paper Title,Over-cite Count
1,PowerNap: a power-aware distributed Wi-Fi access point scheduling algorithm,7
2,An optimized aggregate marker algorithm for bandwidth fairness improvement in classifying traffic networks,13
3,Survey of radio resource management issues and proposals for energy-efficient cellular networks that will cover billions of machines,11
4,Mobility management for IoT: a survey,19
5,Way-Point Multicast Routing Framework for improving QoS in hybrid wireless mesh networks,No PDF Found
6,A forwarding scheme based on swarm intelligence and percolation centrality in opportunistic networks,No PDF Found
7,An ant colony optimization based routing algorithm for extending network lifetime in wireless sensor networks,No PDF Found
8,Multipath routing in mobile ad hoc network with probabilistic splitting of traffic,No PDF Found
9,A social overlay-based forwarding scheme for mobile social networks,No PDF Found
10,Hybrid QoS based routing protocol for inter and intra wireless mesh infrastructure communications,No PDF Found
11,Sharing spray and wait routing algorithm in opportunistic networks,No PDF Found
12,Oblivious routing in wireless mesh networks,No PDF Found
13,Review of vehicular ad hoc network communication models including WVANET (Web VANET) model and WVANET future research directions,No PDF Found
14,Using ICT energy consumption for monitoring ICT usage in an enterprise,No PDF Found
15,Microgrids for base stations: Renewable energy prediction and battery bank management for effective state of charge control,No PDF Found
16,The role of multimedia source codecs in green cellular networks,No PDF Found
17,Insight into the impact of energy caps on the costs of cellular networks with different layouts and technologies,1
18,Design and operation of energy efficient heterogeneous mobile networks,0
19,On MAC optimization for large-scale wireless sensor network,7
20,Maximizing energy efficiency in heterogeneous cellular network with massive MIMO and small cells,No PDF Found
21,Priority based efficient data scheduling technique for VANETs,11
22,Multi-objective fractional artificial bee colony algorithm to energy aware routing protocol in wireless sensor network,0
23,Vehicular Ad hoc Networks: A hybrid approach to data dissemination in exigency situations,1
24,A Tabu search based routing algorithm for wireless sensor networks,0
25,Research on routing protocol facing to signal conflicting in link quality guaranteed WSN,5
26,An adaptive routing algorithm considering position and social similarities in an opportunistic network,6
27,Betweenness centrality based connectivity aware routing algorithm for prolonging network lifetime in wireless sensor networks,24
28,A power control solution for multicast service in green wireless cellular railway network,No PDF Found
29,Assessment of the peak-to-average power ratio in different channel organization strategies,3
30,User-centric cross-tier base station clustering and cooperation in heterogeneous networks: Rate improvement and energy saving,0
31,Modeling and simulating traffic congestion propagation in connected vehicles driven by temporal and spatial preference,5
32,Cross layer design in multi-hop networks with adaptive modulation along with constellation rearrangement,7
33,Optimizing routing based on congestion control for wireless sensor networks,22
34,LIP: an efficient lightweight iterative positioning algorithm for wireless sensor networks,6
35,From immune cells to self-organizing ultra-dense small cell networks,0
36,Joint optimization and threshold structure dynamic programming with enhanced priority scheme for adaptive VANET MAC,27
37,Simulation studies of the power consumptions of a base transceiver station,No PDF Found
38,Large-scale validation and benchmarking of a network of power-conservative systems using ETSI's Green Abstraction Layer,No PDF Found
39,A survey of energy efficiency optimization in heterogeneous cellular networks,No PDF Found
40,Green downlink radio management based cognitive radio LTE hetnets,No PDF Found
,Total,175
"
"
Paper Title: Directional routing and scheduling for green vehicular delay tolerant networks
Citing Paper Number,Paper Title,Over-cite Count
1,Preset delay broadcast: a protocol for fast information dissemination in vehicular ad hoc networks (VANETs),2
2,Interference-aware high-throughput channel allocation mechanism for CR-VANETs,7
3,An optimized aggregate marker algorithm for bandwidth fairness improvement in classifying traffic networks,13
4,"Understanding STDMA via computer simulation: feasibility to vehicular safety applications, configurations, and time synchronization errors",0
5,Minimum node degree of k-connected vehicular ad hoc networks in highway scenarios,4
6,Mobility-based routing algorithm in delay tolerant networks,0
7,Joint QoS provisioning and congestion control for multi-hop wireless networks,12
8,An initial analysis of packet function-aware extension to Dijkstra algorithm for wireless networks,5
9,Mobility management for IoT: a survey,19
10,A novel weight based clustering algorithm for routing in MANET,No PDF Found
11,Way-Point Multicast Routing Framework for improving QoS in hybrid wireless mesh networks,No PDF Found
12,A forwarding scheme based on swarm intelligence and percolation centrality in opportunistic networks,No PDF Found
13,Shielding video streaming against packet losses over VANETs,No PDF Found
14,Hybrid routing and load balancing protocol for wireless sensor network,No PDF Found
15,An ant colony optimization based routing algorithm for extending network lifetime in wireless sensor networks,No PDF Found
16,QoE-based routing algorithms for H.264/SVC video over ad-hoc networks,No PDF Found
17,Multipath routing in mobile ad hoc network with probabilistic splitting of traffic,No PDF Found
18,A social overlay-based forwarding scheme for mobile social networks,No PDF Found
19,Hybrid QoS based routing protocol for inter and intra wireless mesh infrastructure communications,No PDF Found
20,Sharing spray and wait routing algorithm in opportunistic networks,No PDF Found
21,Oblivious routing in wireless mesh networks,No PDF Found
22,Joint scheduling and routing using space–time graphs for TDM wireless mesh networks,No PDF Found
23,Review of vehicular ad hoc network communication models including WVANET (Web VANET) model and WVANET future research directions,No PDF Found
24,A QoE centric distributed caching approach for vehicular video streaming in cellular networks,8
25,Towards a QoE-driven mechanism for improved H.265 video delivery,No PDF Found
26,A grid based clustering and routing algorithm for solving hot spot problem in wireless sensor networks,8
27,A power quality online monitoring system oriented ZigBee routing optimization strategy,2
28,Vehicle mobility driven by traditional drivers versus connected drivers,3
29,Mobility prediction in mobile ad hoc networks using a lightweight genetic algorithm,3
30,On MAC optimization for large-scale wireless sensor network,7
31,A Tabu search based routing algorithm for wireless sensor networks,0
32,SEAD: A simple and efficient adaptive data dissemination protocol in vehicular ad-hoc networks,1
33,Delay and link utilization aware routing protocol for wireless multimedia sensor networks,4
34,Priority based efficient data scheduling technique for VANETs,11
35,Multi-objective fractional artificial bee colony algorithm to energy aware routing protocol in wireless sensor network,0
36,Vehicular Ad hoc Networks: A hybrid approach to data dissemination in exigency situations,1
37,Research on routing protocol facing to signal conflicting in link quality guaranteed WSN,5
38,An adaptive routing algorithm considering position and social similarities in an opportunistic network,6
39,Betweenness centrality based connectivity aware routing algorithm for prolonging network lifetime in wireless sensor networks,24
40,Reliable routing in wireless sensor networks based on coalitional game theory,No PDF Found
,Total,145
"
"
